"Gene ID","UNC Priority Designation","SUM159","SUM229neg","SUM229pos","HCC1419","HCC1428","HCC1806","HCC1954","MCF7","MDA231","MDA361","MDA468","SKBR3","BT474","T47D","ZR751","overall_average"
"MKNK2","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEK1","Priority 3",68005000,64400000,48820000,65110000,0,49701500,33770000,0,32745000,0,15525000,0,0,52185000,9970000,27514468
"NEK10","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEK3","Priority 6",246350000,0,0,0,222850000,23280000,0,238850000,26145000,99770000,107445000,167140000,3370000,175150000,80300000,100843750
"NEK4","Priority 7",11920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745000
"NEK5","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEK6","Priority 7",0,0,0,0,0,0,0,0,10290000,0,0,0,0,0,0,643125
"NEK8","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIM1K","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUAK2","Priority 2",4832500,33625000,67750000,0,0,23095000,0,0,9130000,0,20360000,0,18206666,0,9530000,11658072
"OBSCN","Priority 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK3","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK5","Priority 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAK6","Priority 7",0,0,80010000,0,0,47435000,0,0,0,61950000,76985000,179533333,152966666,0,81400000,42517500
"PAN3","Priority 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDIK1L","Priority 7",98900000,0,0,178250000,0,0,0,134100000,27095000,0,14125000,0,96733333,0,0,34325208
"PI4KA","Priority 7",12000000,0,32115000,86850000,23660000,0,44600000,83005000,8220000,84945000,49660000,45896666,59260000,44305000,49005000,40448854
"PIK3C2G","Priority 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
