Number_of_hits,Total_entries,Percentage_hits,Reagents,Entrez_Gene_ID,Gene,Author_provided_names_IDs
2,4,50,2,,,"645955, LOC645955"
2,10,20,1,,,"LOC166994, LOC389372, XM_374163"
2,27,7.4,2,2812,GP1BB,"E2F4, GP1BB, NM_000407"
2,11,18.2,1,,,"FLJ41733, FLJ46020, NM_207472"
2,25,8,2,57156,TMEM63C,"C14ORF171, C14orf171, ENSG00000165548, NM_020431, TMEM63C, XM_041116"
2,11,18.2,1,284391,ZNF844,"FLJ14959, XM_371139, ZNF844"
2,5,40,2,,,"AC226119.2, ENSG00000151539, LOC348926"
2,10,20,1,84992,PIGY,"MGC14156, PIGY"
2,3,66.7,1,,,LOC100505793
2,10,20,1,284069,FAM171A2,"ENSG00000161682, FAM171A2, MGC34829, XM_208993"
2,3,66.7,1,100533179,UBE2F-SCLY,UBE2F-SCLY
2,8,25,2,,,"401459, FLJ46365"
2,5,40,2,,,LOC441128
2,10,20,1,,,"LOC402100, LOC402117, XM_377761"
2,16,12.5,2,100287932,TIMM23,"10431, ENSG00000138297, NM_006327, TIMM23, timm23"
2,2,100,1,8215,DVL1P1,DVL1L1
2,4,50,2,339970,GCOM2,LOC339970
2,12,16.7,2,390748,PABPN1L,"LOC390748, XM_372648"
2,9,22.2,1,100287226,ZNF729,"284443, ENSG00000196350, ZNF492, ZNF493, ZNF729"
2,15,13.3,3,497190,CLEC18B,"283971, 348174, CLEC18A, CLEC18B, ENSG00000140839, LOC348174, LOC497190, MGC34761, NM_173619, NM_182619"
2,29,6.9,2,94056,SYAP1,"ENSG00000169895, NM_032796, SYAP1"
2,3,66.7,1,,,LOC100652822
2,17,11.8,1,81061,OR11H1,"NM_001005239, OR11H1"
2,32,6.2,3,51186,TCEAL9,"ENSG00000185222, NM_001006612, NM_016303, WBP5"
2,5,40,3,728039,SSR4P1,"732307, C21orf122, ENSG00000183821, LOC732307, hCG_401283"
2,4,50,2,,,"729895, LOC729895"
2,8,25,2,728597,DCDC2C,"388922, DCDC2C, ENSG00000214866, LOC388922, LOC728597, XM_371476"
2,31,6.5,3,64801,ARV1,"ARV1, ENSG00000173409, NM_022786"
2,16,12.5,3,84792,FAM220A,"C7orf70, ENSG00000178397, MGC12966, NM_032706"
2,5,40,2,101928882,LOC101928882,"CCDC39, DKFZp434A128, ENSG00000145075"
2,19,10.5,1,390705,LOC390705,"LOC390705, XM_372626"
2,33,6.1,2,320,APBA1,"APBA1, ENSG00000107282, NM_001163, NM_001163.2, SSTR5"
2,25,8,5,729359,PLIN4,"114782, KIAA1881, PLIN4, XM_375558"
2,8,25,2,643418,LIPN,"LIPN, LOC643418"
2,4,50,2,,,ENSG00000183608
2,9,22.2,1,728498,GOLGA8H,"283796, 653073, FLJ35785, GOLGA8A, GOLGA9P, LOC653073, NM_173613"
2,3,66.7,1,256880,LOC256880,LOC256880
2,16,12.5,2,389075,RESP18,"ENSG00000182698, LOC389075, NM_001007089, RESP18, XM_300831, XM_371593"
2,12,16.7,2,22993,HMGXB3,"ENSG00000113716, HMGX3, HMGXB3, KIAA0194, XM_377912"
2,2,100,2,,,"LOC728489, LOC92973, XM_048529"
2,6,33.3,1,,,"LOC284293, XM_209104"
2,31,6.5,3,83604,TMEM47,"ENSG00000147027, NM_031442, TM4SF10, TMEM47"
2,18,11.1,2,200014,CC2D1B,"CC2D1B, ENSG00000154222, KIAA1836, XM_114087"
2,14,14.3,3,392465,GLOD5,"ENSG00000171433, GLOD5, LOC392465, XM_373347"
2,4,50,2,144817,LINC00330,LOC144817
2,4,50,2,,,"DKFZP564O243, ENSG00000042022"
2,6,33.3,1,,,"LOC402569, XM_379894"
2,31,6.5,2,29074,MRPL18,"ENSG00000112110, MRPL18, NM_014161"
2,3,66.7,2,653232,RPL15P3,LOC653232
2,11,18.2,2,,,"LOC389607, LOC401454, XM_376756"
2,20,10,4,79033,ERI3,"ENSG00000117419, ERI3, PRNPIP, XM_290941"
2,28,7.1,1,63928,CHP2,"AC130454.2, CHP2, ENSG00000166869, LOC63928, NM_022097"
2,25,8,3,401288,LINC00242,"C6ORF122, C6orf122, ENSG00000164493, NM_207502"
2,4,50,2,285191,LOC285191,LOC285191
2,3,66.7,2,,,"731832, LOC731832"
2,16,12.5,2,5969,REG1CP,"NM_006508, REG1P, REGL"
2,33,6.1,2,23270,TSPYL4,"ENSG00000187189, NM_021648, TSPYL4"
2,32,6.2,2,11253,MAN1B1,"ENSG00000177239, MAN1B1, NM_007230, NM_016219, NM_016219.2"
2,12,16.7,2,116123,FMO9P,"FMO9P, LOC116123, NM_138784, RP11-45J16.2"
2,6,33.3,1,,,"LOC338734, XM_290547"
2,11,18.2,1,441061,MARCH11,"11-Mar, ENSG00000183654, LOC441061, MARCH11, NM_001102562"
2,9,22.2,3,392226,LOC392226,"LOC392226, XM_498286, XM_498294"
2,33,6.1,2,9369,NRXN3,"ENSG00000021645, NM_004796, NM_138970, NRXN3"
2,18,11.1,1,90874,ZNF697,"ENSG00000143067, MGC45731, XM_371286, ZNF697"
2,37,5.4,2,3212,HOXB2,"CEP290, ENSG00000173917, HOXB2, NM_002145, X16665"
2,3,66.7,3,,,"728721, LOC728721"
2,6,33.3,1,,,"LOC389286, XM_371736"
2,7,28.6,2,3806,KIR2DS1,"CHN1, KIR2DS1"
2,16,12.5,2,407975,MIR17HG,"C13ORF25, C13orf25, ENSG00000198051, MIRH1, MIRHG1, NM_213723"
2,30,6.7,2,7257,TSNAX,"ENSG00000116918, NM_005999, NM_005999.2, TSNAX"
2,31,6.5,2,51091,SEPSECS,"ENSG00000109618, NM_016955, SEPSECS, SLA LP, SLA/LP"
2,5,40,1,644903,GCC2-AS1,"84744, MGC10701"
2,37,5.4,2,284217,LAMA1,"3907, CASP7, ENSG00000101680, LAMA1, NM_005559, X58531, XM_001130075.1"
2,26,7.7,3,64798,DEPTOR,"DEPDC6, ENSG00000155792, NM_022783"
2,22,9.1,2,391742,LOC391742,"LOC391742, XM_373056"
2,29,6.9,2,79158,GNPTAB,"2795, DUSP6, ENSG00000111670, GNPTAB, MGC4170, NM_024312"
2,25,8,2,283234,CCDC88B,"CCDC88, CCDC88B, ENSG00000168071, FLJ37970, NM_032251"
2,7,28.6,1,,,"LOC155036, LOC401431, XM_376722"
2,8,25,1,,,"80122, FLJ23074"
2,6,33.3,1,,,"LOC345557, MGC22265, XM_293875"
2,13,15.4,2,414318,C9orf106,"C9orf106, ENSG00000179082"
2,17,11.8,2,23176,SEPT8,"38230, 38968, 39698, 39699, ENSG00000164402, SEPT8, XM_034872"
2,31,6.5,2,93380,MMGT1,"ENSG00000169446, LOC93380, MMGT1, NM_173470, TMEM32"
2,3,66.7,1,,,LOC100293534
2,19,10.5,3,402055,SRRD,"24144, CTB-1048E9.5, ENSG00000100104, LOC402055, SRRD, TFIP11, XM_377713"
2,16,12.5,2,139735,ZFP92,"1749, DLX5, ENSG00000189420, LOC139735, XM_066859, ZFP92"
2,18,11.1,2,391322,LOC391322,"LOC391322, XM_372900, XM_938538"
2,29,6.9,2,440533,PSG8,"5670, 5672, 5676, 5677, ENSG00000124467, NM_182707, PSG11, PSG2, PSG4, PSG7, PSG8"
2,34,5.9,4,80174,DBF4B,"DBF4B, DRF1, ENSG00000161692, NM_025104, NM_145663"
2,7,28.6,2,646759,UBTFL7,"196346, LOC196346"
2,10,20,2,653720,GOLGA8M,"388142, 645137, AC055876.16-1, ENSG00000188626, LOC388080, LOC388142, LOC645137, LOC653720, XM_373638"
2,4,50,2,,,"729022, LOC729022"
2,7,28.6,1,,,"LOC388335, LOC388344, XM_371023"
2,11,18.2,2,,,"LOC400093, LOC87769, XM_375007"
2,3,66.7,1,,,LOC100287364
2,29,6.9,2,91523,PCED1B,"ENSG00000179715, FAM113B, MGC16044, NM_138371"
2,9,22.2,2,245915,DEFB112,"DEFB112, ENSG00000180872"
2,28,7.1,2,149699,GTSF1L,"C20ORF65, C20orf65, ENSG00000124196, FAM112A, GTSF1L, NM_001008901, NM_176791, fam112a"
2,29,6.9,4,54734,RAB39A,"ENSG00000179331, NM_017516, RAB39"
2,17,11.8,2,553128,KIR2DL5B,"3802, 57292, 5763, KIR2DL1, KIR2DL5, KIR2DL5A, KIR2DL5B, NM_020535, PTMS"
2,5,40,2,441052,LOC441052,"LOC441052, XM_498986"
2,32,6.2,2,10989,IMMT,"ENSG00000132305, IMMT, NM_001100169.1, NM_006839"
2,30,6.7,1,83852,SETDB2,"ENSG00000136169, NM_031915, SETDB2"
2,28,7.1,3,144233,BCDIN3D,"BCDIN3D, ENSG00000186666, LOC144233, NM_181708"
2,12,16.7,2,,,"LOC220594, NM_145809"
2,29,6.9,2,121355,GTSF1,"ENSG00000170627, FAM112B, FLJ32942, GTSF1, NM_144594"
2,6,33.3,1,,,"LOC116064, XM_057296"
2,16,12.5,2,150365,MEI1,"200321, ENSG00000167077, LOC200321, MEI1, MGC40042, RP5-821D11.2, XM_371468, XM_376013"
2,32,6.2,4,149998,LIPI,"375108, ENSG00000188992, LIPI, LOC375108, NM_198996"
2,4,50,2,646249,PCED1CP,hCG_1645016
2,4,50,2,,,"643153, LOC643153"
2,5,40,1,653162,RPSAP9,"LOC653162, RPSAP9"
2,13,15.4,2,390064,OR51I2,"ENSG00000187918, NM_001004754, OR51I2"
2,3,66.7,1,,,LOC100507018
2,14,14.3,1,253725,WASHC2C,"ENSG00000172661, FAM21C, XM_350780, XM_372310, XM_372311, XM_378223"
2,12,16.7,3,401667,OR51A2,"401666, NM_001005329, OR51A2, OR51A4"
2,20,10,3,155185,AMZ1,"AMZ1, ENSG00000174945, KIAA1950, NM_133463, XM_166532"
2,24,8.3,2,120586,OR8I2,"ENSG00000172154, NM_001003750, OR8I2"
2,22,9.1,1,57494,RIMKLB,"AC092490.10, ENSG00000166532, FAM80B, KIAA1238, NM_020734, RIMKLB, XM_048675"
2,17,11.8,2,728833,FAM72D,"389835, 440748, 653573, FAM72A, GCUD2, LOC440748, MGC57827, NM_207418"
2,26,7.7,2,54576,UGT1A8,"54575, NM_019076, NM_019076.4, UGT1A10, UGT1A8"
2,28,7.1,2,283578,TMED8,"ENSG00000100580, LOC283578, NM_213601, TMED8"
2,10,20,2,,,"LOC389953, XM_372310"
2,3,66.7,1,,,HNRNPR
2,3,66.7,1,,,LOC728419
2,10,20,2,,,"LOC652374, LOC91431, NM_138698"
2,8,25,3,388605,HS6ST1P1,"650218, 728969, HS6ST1P, HS6ST1P1, LOC650218, LOC728969"
2,26,7.7,1,9753,ZSCAN12,"ENSG00000158691, NM_014724, ZNF305, ZNF96, ZSCAN12"
2,6,33.3,1,400645,RBM22P1,FLJ45994
2,32,6.2,3,51542,VPS54,"ENSG00000143952, NM_001005739, NM_016516, VPS54"
2,31,6.5,2,129787,TMEM18,"ENSG00000151353, NM_152834, TMEM18"
2,4,50,2,28782,IGLV5-39,"651536, LOC651536"
2,7,28.6,2,285834,HCG22,"HCG22, XM_496804"
2,16,12.5,1,341568,OR8S1,"ENSG00000197376, NM_001005203, OR8S1"
2,12,16.7,2,284422,SMIM24,"AC005551.1, ENSG00000095932, LOC284422, XM_209196"
2,3,66.7,1,337875,HIST2H2BA,HIST2H2BA
2,2,100,2,,,"LOC152024, LOC93349, NR_026834"
2,4,50,2,729708,TPI1P1,"388642, C7orf68, RCTPI1"
2,18,11.1,2,126299,ZNF428,"ENSG00000131116, MGC51082, NM_182498, ZNF428"
2,33,6.1,2,64089,SNX16,"ENSG00000104497, NM_022133, SNRK, SNX16"
2,8,25,1,386674,KRTAP10-6,"353333, ENSG00000188155, KRTAP10-10, KRTAP10-4, KRTAP10-5, KRTAP10-6"
2,7,28.6,2,,,"402201, LOC402201"
2,14,14.3,3,283152,CCDC153,"CCDC153, LOC283152, XM_378314"
2,3,66.7,1,,,LOC100508408
2,11,18.2,3,392517,NCBP2L,"ENSG00000170935, LOC392517, NCBP2L, XM_373362"
2,10,20,3,,,"FLJ40852, NM_173677"
